[tt0206630]  []  
[tt0101921]  [$80,100,000]  
[tt0101329]  [$22,166,041]  
[tt0105121]  [$23,705,325]  
[tt0102913]  [$3,547,684 ]  
[tt0103956]  [$9,673,095 ]  
[tt0102729]  [$22,641,969]  
[tt0102460]  [$20,246,790]  
[tt0102719]  [$25,104,700]  
[tt0102175]  [$32,482,682]  
[tt0102220]  [$15,429,177]  
[tt0101545]  [$11,336,986]  
[tt0102004]  [$21,636,405]  
[tt0102216]  [$34,002,045]  
[tt0102590]  [$14,851,083]  
[tt0099938]  [$91,457,688]  
[tt0099747]  [$9,243,140 ]  
[tt0099253]  [$28,501,605]  
[tt0103251]  [$17,487,531]  
[tt0099365]  [$32,942,739]  
[tt0100168]  [$16,153,600]  
[tt0100419]  [$53,470,900]  
[tt0099654]  [$24,707,633]  
[tt0416309]  []  
[tt0099088]  [$87,666,629]  
[tt0099141]  [$70,980,000]  
[tt0099710]  [$17,037,887]  
[tt0099329]  [$8,266,343 ]  
[tt0100814]  [$16,667,084]  
[tt0209004]  []  
[tt1142977]  [$35,287,788]  
[tt2224075]  []  
[tt1217213]  []  
[tt1462769]  [$51,853,450]  
[tt1217209]  [$237,282,180]  
[tt2404027]  [$7,075 ]  
[tt0401729]  [$73,078,100]  
[tt2377036]  []  
[tt2033372]  []  
[tt1204342]  [$86,605,092]  
[tt2092452]  []  
[tt1216475]  [$191,450,870]  
[tt1298650]  [$241,071,800]  
[tt1604171]  [$10,019,594]  
[tt1629440]  []  
[tt1449283]  [$26,687,172]  
[tt1305591]  [$21,345,454]  
[tt2711622]  []  
[tt1482393]  []  
[tt1621994]  []  
[tt1104001]  [$172,062,760]  
[tt0398286]  [$200,821,930]  
[tt1714832]  []  
[tt1028576]  [$59,699,513]  
[tt0963966]  [$63,150,991]  
[tt0435761]  [$415,004,880]  
[tt0473075]  [$90,759,676]  
[tt1014759]  [$334,185,200]  
[tt1439229]  []  
[tt1474311]  []  
[tt0976238]  [$49,474,048]  
[tt0780521]  [$104,400,890]  
[tt1067106]  [$137,850,090]  
[tt1293793]  []  
[tt0436339]  [$119,420,250]  
[tt1049413]  [$293,004,160]  
[tt1015971]  [$54,852 ]  
[tt1114677]  [$79,566,871]  
[tt1368151]  []  
[tt1075417]  [$67,128,202]  
[tt1229827]  [$19,161,363]  
[tt0960731]  [$109,993,840]  
